age,sex,exp,medians,junction,surface,light,weather,collision,car_movement,acc_cause,severity
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Rollover,Going straight,No priority to pedestrian,2
31-50,Male,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Unknown,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
Over 51,Male,1-2yr,Two-way (divided with broken lines road marking),Unknown,Gravel roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Male,2-5yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,2
31-50,Male,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Other,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving to the left,2
Unknown,Female,5-10yr,One way,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving at high speed,2
31-50,Male,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Unknown,2
31-50,Unknown,2-5yr,Undivided Two way,O Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the right,2
18-30,Male,Above 10yr,other,O Shape,Unknown,Daylight,Normal,Vehicle with vehicle collision,Unknown,No distancing,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,2
31-50,Male,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Crossing,Unknown,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the left,2
31-50,Male,5-10yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,No priority to pedestrian,2
31-50,Male,5-10yr,Undivided Two way,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,2
31-50,Male,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
31-50,Male,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
31-50,Male,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
Over 51,Male,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the right,1
Over 51,Unknown,Unknown,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Changing lane to the right,2
Under 18,Male,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,1-2yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Changing lane to the left,1
31-50,Male,1-2yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Overturning,1
Over 51,Male,2-5yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Driving carelessly,2
Over 51,Male,Unknown,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,No distancing,2
Over 51,Unknown,2-5yr,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,Driving carelessly,2
Over 51,Male,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,No priority to vehicle,2
18-30,Unknown,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Male,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Male,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Moving Backward,0
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,0
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,2
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,2
Over 51,Male,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,2
Over 51,Male,5-10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
18-30,Male,2-5yr,Double carriageway (median),Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
18-30,Unknown,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Driving carelessly,2
Over 51,Male,Above 10yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Other,2
18-30,Male,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,5-10yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Parked,No distancing,2
Over 51,Male,5-10yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,2
31-50,Unknown,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overturning,2
Under 18,Male,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Driving at high speed,1
Under 18,Male,Above 10yr,One way,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
Under 18,Male,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
Under 18,Male,5-10yr,One way,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
Over 51,Male,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Turnover,Other,2
31-50,Unknown,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Going straight,Other,2
31-50,Male,5-10yr,Unknown,Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
18-30,Male,2-5yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Rollover,Unknown,No distancing,2
31-50,Male,5-10yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Moving Backward,2
31-50,Unknown,5-10yr,Unknown,Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
18-30,Male,Above 10yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driving carelessly,2
Unknown,Female,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Turnover,No distancing,2
18-30,Unknown,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Other,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown,No distancing,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Driving carelessly,2
18-30,Male,Above 10yr,other,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Male,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,No priority to pedestrian,2
18-30,Male,2-5yr,other,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No priority to vehicle,1
Under 18,Unknown,5-10yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
Over 51,Male,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Turnover,2
31-50,Male,1-2yr,other,No junction,Other,Daylight,Normal,Vehicle with vehicle collision,Turnover,Driving to the left,2
18-30,Male,Unknown,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Driving carelessly,2
18-30,Male,1-2yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving to the left,2
18-30,Male,5-10yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Driving carelessly,2
31-50,Male,1-2yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,No priority to pedestrian,2
Under 18,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,Driving carelessly,2
18-30,Male,2-5yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Changing lane to the right,2
31-50,Male,2-5yr,other,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
18-30,Unknown,5-10yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
31-50,Male,Below 1yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Reversing,Changing lane to the right,2
31-50,Male,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Male,Unknown,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Under 18,Male,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Driving carelessly,1
Under 18,Male,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Parked,Changing lane to the right,1
18-30,Unknown,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,Changing lane to the right,2
18-30,Male,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Driving carelessly,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Unknown,Overtaking,2
18-30,Unknown,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Under 18,Male,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Stopping,Other,2
18-30,Male,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Overtaking,Changing lane to the right,2
31-50,Male,Below 1yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Overtaking,2
18-30,Male,1-2yr,Unknown,No junction,Asphalt roads,Darkness - lights lit,Raining and Windy,Collision with roadside objects,Reversing,Other,2
18-30,Male,2-5yr,Double carriageway (median),No junction,Earth roads,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,Going straight,Driving to the left,2
Unknown,Female,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Going straight,Overtaking,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Unknown,Daylight,Cloudy,Vehicle with vehicle collision,Unknown,No priority to vehicle,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Going straight,Moving Backward,2
Under 18,Male,Unknown,Unknown,Y Shape,Asphalt roads,Darkness - lights lit,Raining,With Train,Moving Backward,Other,2
Under 18,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
Under 18,Male,Above 10yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,No priority to pedestrian,2
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
Over 51,Male,unknown,Undivided Two way,Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Unknown,Changing lane to the right,2
31-50,Male,2-5yr,Unknown,Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Driving to the left,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),Crossing,Gravel roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
Over 51,Male,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Turnover,Driving at high speed,2
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,Moving Backward,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,No distancing,2
31-50,Unknown,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Other,2
Over 51,Male,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,No priority to vehicle,2
Over 51,Male,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Changing lane to the right,2
18-30,Unknown,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,2
31-50,Male,Unknown,Unknown,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,No distancing,2
Over 51,Male,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,No distancing,2
18-30,Male,5-10yr,other,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Moving Backward,2
18-30,Male,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
31-50,Male,Below 1yr,One way,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,Other,2
18-30,Male,5-10yr,Undivided Two way,Y Shape,Other,Daylight,Normal,Collision with pedestrians,Moving Backward,No distancing,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No priority to pedestrian,2
Unknown,Female,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Moving Backward,2
31-50,Male,Unknown,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
Over 51,Unknown,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
18-30,Male,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Driving carelessly,1
